,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,SUBLOCALITY,LATITUDE,LONGITUDE,BEDS_BATH_RATIO,SQFT_BEDS_RATIO,SQFT_BATH_RATIO,SQFT For TotalRooms,LOCATION_SIZE,Distance_to_center
247,0,439500,3,2.0,1400.0,13,40.7047878,-73.8344551,1.5,466.6666666666667,700.0,280.0,-4207582.1580437785,14030.598516172353
252,0,69000,1,1.0,850.0,20,40.8366623,-73.9239586,1.0,850.0,850.0,425.0,-2565986.573243274,7770.56245924393
253,2,1995000,3,2.0,1546.0,11,40.8018548,-73.9672877,1.5,515.3333333333334,773.0,309.2,-4665831.91553136,2820.2701843150357
254,0,230000,1,1.0,620.0,11,40.8028416,-73.9670229,1.0,620.0,620.0,310.0,-1871200.125787609,2931.896401964868
255,0,220000,1,1.0,590.0,13,40.7130136,-73.8230375,1.0,590.0,590.0,295.0,-1773279.414541178,14358.303053626663
258,0,475000,1,1.0,615.0,11,40.7779975,-73.9445342,1.0,615.0,615.0,307.5,-1854415.6689089527,2260.3035458313757
260,7,1150000,2,2.0,1444.0,16,40.5882505,-74.1087291,1.0,722.0,722.0,361.0,-4343470.6464081025,23942.31783784438
261,7,1575000,3,2.0,2184.207862,9,40.6683947,-73.9762195,1.5,728.0692873333334,1092.103931,436.8415724,-6571176.450798172,12047.405749089481
264,2,320000,2,2.0,936.0,20,40.8236857,-73.8611313,1.0,468.0,468.0,234.0,-2822305.458620824,10646.651513257386
266,7,550000,3,2.0,2184.207862,9,40.6498755,-73.9375091,1.5,728.0692873333334,1092.103931,436.8415724,-6564747.1184404185,14384.689053197406
267,2,285000,2,1.0,1000.0,20,40.8362269,-73.8612346,2.0,500.0,1000.0,333.3333333333333,-3016214.1352397306,11388.475469370267
268,0,328000,1,1.0,800.0,13,40.743059,-73.880983,1.0,800.0,800.0,400.0,-2408109.7994775977,8477.343838336817
269,10,1388000,4,3.0,2184.207862,14,40.774158,-73.7957477,1.3333333333333333,546.0519655,728.0692873333334,312.0296945714286,-6572192.944896989,14786.829147443485
273,2,1100000,1,2.0,890.0,11,40.7598542,-73.9874427,0.5,890.0,445.0,296.6666666666667,-2683988.4656037404,2311.287916170836
277,0,560000,3,1.0,550.0,11,40.777244,-73.9868738,3.0,183.33333333333334,550.0,137.5,-1659339.443156894,1311.1179519319633
287,2,1025000,1,1.0,800.0,11,40.7712538,-73.950858,1.0,800.0,800.0,400.0,-2412055.360196608,1825.5641787679392
288,2,1375000,1,2.0,920.0,11,40.7645034,-73.9648503,0.5,920.0,460.0,306.6666666666667,-2773929.160212054,1459.098941151392
289,2,875000,3,2.0,1437.0,11,40.8539526,-73.9345678,1.5,479.0,718.5,287.4,-4340486.27491466,9132.467481481886
290,10,1350000,6,3.0,3000.0,9,40.5902653,-73.9455056,2.0,500.0,1000.0,333.3333333333333,-9004403.070139907,20841.91127030146
291,5,989000,7,3.0,2184.207862,9,40.6360957,-73.9018295,2.3333333333333335,312.0296945714286,728.0692873333334,218.4207862,-6559354.912664541,16693.271987646665
294,10,669000,5,2.0,1893.0,14,40.5967151,-73.7696424,2.5,378.6,946.5,270.42857142857144,-5669166.1594404,26260.239881945065
295,10,900500,4,2.0,2184.207862,9,40.6468871,-73.8907758,2.0,546.0519655,1092.103931,364.0346436666667,-6560115.466307208,15948.87876662316
296,0,1465000,3,3.0,2184.207862,11,40.7701914,-73.9590118,1.0,728.0692873333334,728.0692873333334,364.0346436666667,-6586092.349063756,1262.6609732953723
297,5,899000,3,1.0,1100.0,11,40.7604194,-73.9968086,3.0,366.6666666666667,1100.0,275.0,-3317755.0480772797,2806.185731412388
